ID,Name,Train_Wake_Up_Unit_Type,SSID,IP_Address,MIB_IP_Address,Subnet_Mask,Gateway_IP_Address,Train_ID
5518,TWU_1_M5M6_T141,TWU_1,141,10.85.141.169,10.85.141.169,255.252.0.0,10.85.141.138,141
5520,TWU_1_M5M6_T143,TWU_1,143,10.85.143.169,10.85.143.169,255.252.0.0,10.85.143.138,143
5522,TWU_1_M5M6_T145,TWU_1,145,10.85.145.169,10.85.145.169,255.252.0.0,10.85.145.138,145
5524,TWU_1_M5M6_T147,TWU_1,147,10.85.147.169,10.85.147.169,255.252.0.0,10.85.147.138,147
5526,TWU_1_M5M6_T149,TWU_1,149,10.85.149.169,10.85.149.169,255.252.0.0,10.85.149.138,149
5528,TWU_1_M5M6_T151,TWU_1,151,10.85.151.169,10.85.151.169,255.252.0.0,10.85.151.138,151
5530,TWU_1_M5M6_T153,TWU_1,153,10.85.153.169,10.85.153.169,255.252.0.0,10.85.153.138,153
5532,TWU_1_M5M6_T155,TWU_1,155,10.85.155.169,10.85.155.169,255.252.0.0,10.85.155.138,155
5534,TWU_1_M5M6_T157,TWU_1,157,10.85.157.169,10.85.157.169,255.252.0.0,10.85.157.138,157
5536,TWU_1_M5M6_T159,TWU_1,159,10.85.159.169,10.85.159.169,255.252.0.0,10.85.159.138,159
5538,TWU_1_M5M6_T161,TWU_1,161,10.85.161.169,10.85.161.169,255.252.0.0,10.85.161.138,161
5540,TWU_1_M5M6_T163,TWU_1,163,10.85.163.169,10.85.163.169,255.252.0.0,10.85.163.138,163
5542,TWU_1_M5M6_T165,TWU_1,165,10.85.165.169,10.85.165.169,255.252.0.0,10.85.165.138,165
5544,TWU_1_M5M6_T167,TWU_1,167,10.85.167.169,10.85.167.169,255.252.0.0,10.85.167.138,167
5546,TWU_1_M5M6_T169,TWU_1,169,10.85.169.169,10.85.169.169,255.252.0.0,10.85.169.138,169
5548,TWU_1_M5M6_T171,TWU_1,171,10.85.171.169,10.85.171.169,255.252.0.0,10.85.171.138,171
5550,TWU_1_M5M6_T173,TWU_1,173,10.85.173.169,10.85.173.169,255.252.0.0,10.85.173.138,173
5552,TWU_1_M5M6_T175,TWU_1,175,10.85.175.169,10.85.175.169,255.252.0.0,10.85.175.138,175
5740,TWU_2_M5M6_T107,TWU_2,107,10.84.107.170,10.84.107.170,255.252.0.0,10.84.107.138,107
5742,TWU_2_M5M6_T109,TWU_2,109,10.84.109.170,10.84.109.170,255.252.0.0,10.84.109.138,109
5744,TWU_2_M5M6_T111,TWU_2,111,10.84.111.170,10.84.111.170,255.252.0.0,10.84.111.138,111
5746,TWU_2_M5M6_T113,TWU_2,113,10.84.113.170,10.84.113.170,255.252.0.0,10.84.113.138,113
5748,TWU_2_M5M6_T115,TWU_2,115,10.84.115.170,10.84.115.170,255.252.0.0,10.84.115.138,115
5750,TWU_2_M5M6_T117,TWU_2,117,10.84.117.170,10.84.117.170,255.252.0.0,10.84.117.138,117
5752,TWU_2_M5M6_T119,TWU_2,119,10.84.119.170,10.84.119.170,255.252.0.0,10.84.119.138,119
5754,TWU_2_M5M6_T121,TWU_2,121,10.84.121.170,10.84.121.170,255.252.0.0,10.84.121.138,121
5756,TWU_2_M5M6_T123,TWU_2,123,10.84.123.170,10.84.123.170,255.252.0.0,10.84.123.138,123
5758,TWU_2_M5M6_T125,TWU_2,125,10.84.125.170,10.84.125.170,255.252.0.0,10.84.125.138,125
5760,TWU_2_M5M6_T127,TWU_2,127,10.84.127.170,10.84.127.170,255.252.0.0,10.84.127.138,127
5762,TWU_2_M5M6_T129,TWU_2,129,10.84.129.170,10.84.129.170,255.252.0.0,10.84.129.138,129
5764,TWU_2_M5M6_T131,TWU_2,131,10.84.131.170,10.84.131.170,255.252.0.0,10.84.131.138,131
5766,TWU_2_M5M6_T133,TWU_2,133,10.84.133.170,10.84.133.170,255.252.0.0,10.84.133.138,133
5768,TWU_2_M5M6_T135,TWU_2,135,10.84.135.170,10.84.135.170,255.252.0.0,10.84.135.138,135
5770,TWU_2_M5M6_T137,TWU_2,137,10.84.137.170,10.84.137.170,255.252.0.0,10.84.137.138,137
5772,TWU_2_M5M6_T139,TWU_2,139,10.84.139.170,10.84.139.170,255.252.0.0,10.84.139.138,139
5774,TWU_2_M5M6_T141,TWU_2,141,10.84.141.170,10.84.141.170,255.252.0.0,10.84.141.138,141
5776,TWU_2_M5M6_T143,TWU_2,143,10.84.143.170,10.84.143.170,255.252.0.0,10.84.143.138,143
5778,TWU_2_M5M6_T145,TWU_2,145,10.84.145.170,10.84.145.170,255.252.0.0,10.84.145.138,145
5780,TWU_2_M5M6_T147,TWU_2,147,10.84.147.170,10.84.147.170,255.252.0.0,10.84.147.138,147
5782,TWU_2_M5M6_T149,TWU_2,149,10.84.149.170,10.84.149.170,255.252.0.0,10.84.149.138,149
5784,TWU_2_M5M6_T151,TWU_2,151,10.84.151.170,10.84.151.170,255.252.0.0,10.84.151.138,151
5786,TWU_2_M5M6_T153,TWU_2,153,10.84.153.170,10.84.153.170,255.252.0.0,10.84.153.138,153
5788,TWU_2_M5M6_T155,TWU_2,155,10.84.155.170,10.84.155.170,255.252.0.0,10.84.155.138,155
5790,TWU_2_M5M6_T157,TWU_2,157,10.84.157.170,10.84.157.170,255.252.0.0,10.84.157.138,157
5792,TWU_2_M5M6_T159,TWU_2,159,10.84.159.170,10.84.159.170,255.252.0.0,10.84.159.138,159
5794,TWU_2_M5M6_T161,TWU_2,161,10.84.161.170,10.84.161.170,255.252.0.0,10.84.161.138,161
5796,TWU_2_M5M6_T163,TWU_2,163,10.84.163.170,10.84.163.170,255.252.0.0,10.84.163.138,163
5798,TWU_2_M5M6_T165,TWU_2,165,10.84.165.170,10.84.165.170,255.252.0.0,10.84.165.138,165
5800,TWU_2_M5M6_T167,TWU_2,167,10.84.167.170,10.84.167.170,255.252.0.0,10.84.167.138,167
5802,TWU_2_M5M6_T169,TWU_2,169,10.84.169.170,10.84.169.170,255.252.0.0,10.84.169.138,169
5804,TWU_2_M5M6_T171,TWU_2,171,10.84.171.170,10.84.171.170,255.252.0.0,10.84.171.138,171
5806,TWU_2_M5M6_T173,TWU_2,173,10.84.173.170,10.84.173.170,255.252.0.0,10.84.173.138,173
5808,TWU_2_M5M6_T175,TWU_2,175,10.84.175.170,10.84.175.170,255.252.0.0,10.84.175.138,175
